,Name,Market Cap,Top 10 Holders %,Avg Active Wallets
0,Chiliz,"$674,081,874",,
1,Dogecoin,"$9,503,164,430",,
2,Dai,"$9,503,164,430",,
3,Filecoin,"$1,127,800,406",,
4,Terra Classic,"$1,127,800,406",,
5,Neo,"$460,578,606",,
6,Loopring,"$256,054,698",,
7,Dash,"$481,044,719",,
8,Lido DAO,"$1,011,369,657",,
9,Quant,"$1,317,341,207",,
10,Monero,"$2,699,905,627",,
11,Hedera,"$981,816,999",,
12,TRON,"$5,089,570,788",,
13,USDD,"$711,638,966",,
14,Decred,"$276,670,927",,
15,GateToken,"$349,415,994",,
16,VeChain,"$1,167,562,787",,
17,Ravencoin,"$231,704,273",,
18,Huobi Token,"$836,118,369",,
19,Axie Infinity,"$649,299,135",,
20,Binance USD,"$16,428,319,857",,
21,Synthetix,"$379,209,575",,
22,KuCoin Token,"$654,265,386",,
23,Neutrino USD,"$317,402,006",,
24,TrueUSD,"$843,936,718",,
25,Stacks,"$293,891,391",,
26,Ethereum,"$148,679,406,528",,
27,Maker,"$500,780,295",,
28,EOS,"$949,502,102",,
29,Polygon,"$6,826,318,490",,
30,Tezos,"$683,436,663",,
31,Theta Network,"$744,466,389",,
32,Algorand,"$1,299,448,109",,
33,Toncoin,"$2,662,111,346",,
34,Osmosis,"$352,797,413",,
35,Chainlink,"$2,871,953,819",,
36,Curve DAO Token,"$281,367,071",,
37,Internet Computer,"$1,117,601,529",,
38,Frax Share,"$335,750,415",,
39,Fantom,"$593,315,139",,
40,Wrapped Bitcoin,"$3,054,485,720",,
41,Ethereum Classic,"$2,219,341,395",,
42,Bitcoin,"$321,836,455,562",,
43,Aave,"$746,100,678",,
44,Casper,"$307,354,561",,
45,Decentraland,"$574,441,688",,
46,1inch Network,"$574,441,688",,
47,BNB,"$39,335,714,943",,
48,XRP,"$17,403,823,108",,
49,Zcash,"$648,458,242",,
50,Aptos,"$485,712,968",,
51,Gemini Dollar,"$607,678,486",,
52,Polkadot,"$5,208,707,222",,
53,Nexo,"$378,918,776",,
54,Bitcoin Cash,"$1,921,390,045",,
55,OKB,"$1,787,380,918",,
56,eCash,"$425,746,331",,
57,Zilliqa,"$264,221,916",,
58,Basic Attention Token,"$257,913,457",,
59,Mina,"$349,202,520",,
60,Chain,"$258,238,637",,
61,Convex Finance,"$231,963,133",,
62,Trust Wallet Token,"$610,297,102",,
63,Flow,"$748,420,014",,
64,Enjin Coin,"$248,424,895",,
65,Litecoin,"$5,428,148,658",,
66,Klaytn,"$470,469,560",,
67,Fei USD,"$424,408,863",,
68,Cosmos,"$2,824,180,280",,
69,PAX Gold,"$498,055,463",,
70,DogeTrend,- -,,
71,Cardano,"$8,718,814,488",,
72,ApeCoin,"$12,458",,
73,EthereumPoW,"$12,458",,
74,Balancer,"$247,753,921",,
75,Uniswap,"$4,079,899,686",,
76,Tether,"$66,253,284,425",,
77,Avalanche,"$3,487,732,819",,
78,Holo,"$251,954,218",,
79,THORChain,"$430,557,453",,
80,USD Coin,"$44,724,720,739",,
81,Shiba Inu,"$4,483,895,986",,
82,The Graph,"$519,407,364",,
83,Bitcoin SV,"$810,053,156",,
84,PancakeSwap,"$514,513,743",,
85,BitDAO,"$789,327,927",,
86,XDC Network,"$789,327,927",,
87,The Sandbox,"$613,224,648",,
88,BitTorrent-New,"$595,053,858",,
89,Level Finance,"$103,706",,
90,Pax Dollar,"$876,253,866",,
91,MultiversX (Elrond),"$103,706",,
92,Cronos,"$1,456,631,044",,
93,NEAR Protocol,"$1,119,880,138",,
94,IOTA,"$503,769,670",,
95,ImmutableX,"$503,769,670",,
96,Kabosu Inu,- -,,
97,Celo,"$237,170,581",,
98,Stellar,"$1,931,965,409",,
99,Solana,"$4,324,663,675",,
100,GMX,"$353,193,300",,
101,NEM,"$263,857,385",,
102,UNUS SED LEO,"$3,365,340,734",,
